datalogger,elapsed,date,time,temperatura,
DAT10C,00:00:00,19/05/2014,13:34:09,  4.0,
DAT10C,00:03:00,19/05/2014,13:37:09,  4.0,
DAT10C,00:06:00,19/05/2014,13:40:09,  4.0,
DAT10C,00:09:00,19/05/2014,13:43:09,  4.0,
DAT10C,00:12:00,19/05/2014,13:46:09,  3.8,
DAT10C,00:15:00,19/05/2014,13:49:09,  4.0,
DAT10C,00:18:00,19/05/2014,13:52:09,  4.0,
DAT10C,00:21:00,19/05/2014,13:55:09,  4.0,
DAT10C,00:24:00,19/05/2014,13:58:09,  4.2,
DAT10C,00:27:00,19/05/2014,14:01:09,  4.5,
DAT10C,00:30:00,19/05/2014,14:04:09,  4.6,
DAT10C,00:33:00,19/05/2014,14:07:09,  4.7,
DAT10C,00:36:00,19/05/2014,14:10:09,  4.7,
DAT10C,00:39:00,19/05/2014,14:13:09,  4.6,
DAT10C,00:42:00,19/05/2014,14:16:09,  4.5,
DAT10C,00:45:00,19/05/2014,14:19:09,  4.5,
DAT10C,00:48:00,19/05/2014,14:22:09,  4.6,
DAT10C,00:51:00,19/05/2014,14:25:09,  4.6,
DAT10C,00:54:00,19/05/2014,14:28:09,  4.3,
DAT10C,00:57:00,19/05/2014,14:31:09,  4.3,
DAT10C,01:00:00,19/05/2014,14:34:09,  4.5,
DAT10C,01:03:00,19/05/2014,14:37:09,  4.6,
DAT10C,01:06:00,19/05/2014,14:40:09,  4.6,
DAT10C,01:09:00,19/05/2014,14:43:09,  4.5,
DAT10C,01:12:00,19/05/2014,14:46:09,  4.5,
DAT10C,01:15:00,19/05/2014,14:49:09,  4.5,
DAT10C,01:18:00,19/05/2014,14:52:09,  4.5,
DAT10C,01:21:00,19/05/2014,14:55:09,  4.3,
DAT10C,01:24:00,19/05/2014,14:58:09,  4.3,
DAT10C,01:27:00,19/05/2014,15:01:09,  4.5,
DAT10C,01:30:00,19/05/2014,15:04:09,  4.3,
DAT10C,01:33:00,19/05/2014,15:07:09,  4.2,
DAT10C,01:36:00,19/05/2014,15:10:09,  4.3,
DAT10C,01:39:00,19/05/2014,15:13:09,  4.3,
DAT10C,01:42:00,19/05/2014,15:16:09,  4.2,
DAT10C,01:45:00,19/05/2014,15:19:09,  4.2,
DAT10C,01:48:00,19/05/2014,15:22:09,  4.2,
DAT10C,01:51:00,19/05/2014,15:25:09,  4.2,
DAT10C,01:54:00,19/05/2014,15:28:09,  4.1,
DAT10C,01:57:00,19/05/2014,15:31:09,  4.1,
DAT10C,02:00:00,19/05/2014,15:34:09,  4.1,
DAT10C,02:03:00,19/05/2014,15:37:09,  4.1,
DAT10C,02:06:00,19/05/2014,15:40:09,  4.1,
DAT10C,02:09:00,19/05/2014,15:43:09,  4.1,
DAT10C,02:12:00,19/05/2014,15:46:09,  4.1,
DAT10C,02:15:00,19/05/2014,15:49:09,  4.0,
DAT10C,02:18:00,19/05/2014,15:52:09,  4.0,
DAT10C,02:21:00,19/05/2014,15:55:09,  4.1,
DAT10C,02:24:00,19/05/2014,15:58:09,  4.1,
DAT10C,02:27:00,19/05/2014,16:01:09,  4.3,
DAT10C,02:30:00,19/05/2014,16:04:09,  4.8,
DAT10C,02:33:00,19/05/2014,16:07:09,  5.0,
DAT10C,02:36:00,19/05/2014,16:10:09,  4.8,
DAT10C,02:39:00,19/05/2014,16:13:09,  4.7,
DAT10C,02:42:00,19/05/2014,16:16:09,  4.3,
DAT10C,02:45:00,19/05/2014,16:19:09,  4.0,
DAT10C,02:48:00,19/05/2014,16:22:09,  3.8,
DAT10C,02:51:00,19/05/2014,16:25:09,  3.8,
DAT10C,02:54:00,19/05/2014,16:28:09,  4.0,
DAT10C,02:57:00,19/05/2014,16:31:09,  4.0,
DAT10C,03:00:00,19/05/2014,16:34:09,  3.8,
DAT10C,03:03:00,19/05/2014,16:37:09,  4.0,
DAT10C,03:06:00,19/05/2014,16:40:09,  4.1,
DAT10C,03:09:00,19/05/2014,16:43:09,  3.8,
DAT10C,03:12:00,19/05/2014,16:46:09,  3.8,
DAT10C,03:15:00,19/05/2014,16:49:09,  4.0,
DAT10C,03:18:00,19/05/2014,16:52:09,  4.0,
DAT10C,03:21:00,19/05/2014,16:55:09,  3.8,
DAT10C,03:24:00,19/05/2014,16:58:09,  3.7,
DAT10C,03:27:00,19/05/2014,17:01:09,  3.8,
DAT10C,03:30:00,19/05/2014,17:04:09,  4.0,
DAT10C,03:33:00,19/05/2014,17:07:09,  4.0,
DAT10C,03:36:00,19/05/2014,17:10:09,  3.7,
DAT10C,03:39:00,19/05/2014,17:13:09,  3.8,
DAT10C,03:42:00,19/05/2014,17:16:09,  3.8,
DAT10C,03:45:00,19/05/2014,17:19:09,  4.0,
DAT10C,03:48:00,19/05/2014,17:22:09,  4.0,
DAT10C,03:51:00,19/05/2014,17:25:09,  4.0,
DAT10C,03:54:00,19/05/2014,17:28:09,  3.6,
DAT10C,03:57:00,19/05/2014,17:31:09,  3.3,
DAT10C,04:00:00,19/05/2014,17:34:09,  3.2,
DAT10C,04:03:00,19/05/2014,17:37:09,  3.8,
DAT10C,04:06:00,19/05/2014,17:40:09,  4.1,
DAT10C,04:09:00,19/05/2014,17:43:09,  4.3,
DAT10C,04:12:00,19/05/2014,17:46:09,  4.7,
DAT10C,04:15:00,19/05/2014,17:49:09,  4.8,
DAT10C,04:18:00,19/05/2014,17:52:09,  5.1,
DAT10C,04:21:00,19/05/2014,17:55:09,  5.0,
DAT10C,04:24:00,19/05/2014,17:58:09,  4.6,
DAT10C,04:27:00,19/05/2014,18:01:09,  4.2,
DAT10C,04:30:00,19/05/2014,18:04:09,  4.0,
DAT10C,04:33:00,19/05/2014,18:07:09,  4.0,
DAT10C,04:36:00,19/05/2014,18:10:09,  4.0,
DAT10C,04:39:00,19/05/2014,18:13:09,  4.0,
DAT10C,04:42:00,19/05/2014,18:16:09,  3.7,
DAT10C,04:45:00,19/05/2014,18:19:09,  3.8,
DAT10C,04:48:00,19/05/2014,18:22:09,  3.8,
DAT10C,04:51:00,19/05/2014,18:25:09,  3.8,
DAT10C,04:54:00,19/05/2014,18:28:09,  3.7,
DAT10C,04:57:00,19/05/2014,18:31:09,  3.7,
DAT10C,05:00:00,19/05/2014,18:34:09,  3.8,
DAT10C,05:03:00,19/05/2014,18:37:09,  3.7,
DAT10C,05:06:00,19/05/2014,18:40:09,  3.7,
DAT10C,05:09:00,19/05/2014,18:43:09,  3.7,
DAT10C,05:12:00,19/05/2014,18:46:09,  3.7,
DAT10C,05:15:00,19/05/2014,18:49:09,  3.6,
DAT10C,05:18:00,19/05/2014,18:52:09,  3.6,
DAT10C,05:21:00,19/05/2014,18:55:09,  3.7,
DAT10C,05:24:00,19/05/2014,18:58:09,  3.7,
DAT10C,05:27:00,19/05/2014,19:01:09,  3.5,
DAT10C,05:30:00,19/05/2014,19:04:09,  3.6,
DAT10C,05:33:00,19/05/2014,19:07:09,  3.6,
DAT10C,05:36:00,19/05/2014,19:10:09,  3.6,
DAT10C,05:39:00,19/05/2014,19:13:09,  3.5,
DAT10C,05:42:00,19/05/2014,19:16:09,  3.5,
DAT10C,05:45:00,19/05/2014,19:19:09,  3.5,
DAT10C,05:48:00,19/05/2014,19:22:09,  3.5,
DAT10C,05:51:00,19/05/2014,19:25:09,  3.3,
DAT10C,05:54:00,19/05/2014,19:28:09,  3.5,
DAT10C,05:57:00,19/05/2014,19:31:09,  3.5,
DAT10C,06:00:00,19/05/2014,19:34:09,  3.3,
DAT10C,06:03:00,19/05/2014,19:37:09,  3.3,
DAT10C,06:06:00,19/05/2014,19:40:09,  3.3,
DAT10C,06:09:00,19/05/2014,19:43:09,  3.3,
DAT10C,06:12:00,19/05/2014,19:46:09,  3.2,
DAT10C,06:15:00,19/05/2014,19:49:09,  3.3,
DAT10C,06:18:00,19/05/2014,19:52:09,  3.7,
DAT10C,06:21:00,19/05/2014,19:55:09,  3.8,
DAT10C,06:24:00,19/05/2014,19:58:09,  4.2,
DAT10C,06:27:00,19/05/2014,20:01:09,  4.5,
DAT10C,06:30:00,19/05/2014,20:04:09,  4.6,
DAT10C,06:33:00,19/05/2014,20:07:09,  5.0,
DAT10C,06:36:00,19/05/2014,20:10:09,  5.0,
DAT10C,06:39:00,19/05/2014,20:13:09,  4.8,
DAT10C,06:42:00,19/05/2014,20:16:09,  4.8,
DAT10C,06:45:00,19/05/2014,20:19:09,  4.7,
DAT10C,06:48:00,19/05/2014,20:22:09,  4.5,
DAT10C,06:51:00,19/05/2014,20:25:09,  4.5,
DAT10C,06:54:00,19/05/2014,20:28:09,  4.3,
DAT10C,06:57:00,19/05/2014,20:31:09,  4.3,
DAT10C,07:00:00,19/05/2014,20:34:09,  4.1,
DAT10C,07:03:00,19/05/2014,20:37:09,  4.1,
DAT10C,07:06:00,19/05/2014,20:40:09,  4.1,
DAT10C,07:09:00,19/05/2014,20:43:09,  4.1,
DAT10C,07:12:00,19/05/2014,20:46:09,  4.0,
DAT10C,07:15:00,19/05/2014,20:49:09,  4.0,
DAT10C,07:18:00,19/05/2014,20:52:09,  4.0,
DAT10C,07:21:00,19/05/2014,20:55:09,  3.8,
DAT10C,07:24:00,19/05/2014,20:58:09,  3.8,
DAT10C,07:27:00,19/05/2014,21:01:09,  3.8,
DAT10C,07:30:00,19/05/2014,21:04:09,  3.8,
DAT10C,07:33:00,19/05/2014,21:07:09,  3.7,
DAT10C,07:36:00,19/05/2014,21:10:09,  3.7,
DAT10C,07:39:00,19/05/2014,21:13:09,  3.7,
DAT10C,07:42:00,19/05/2014,21:16:09,  3.7,
DAT10C,07:45:00,19/05/2014,21:19:09,  3.6,
DAT10C,07:48:00,19/05/2014,21:22:09,  3.6,
DAT10C,07:51:00,19/05/2014,21:25:09,  3.6,
DAT10C,07:54:00,19/05/2014,21:28:09,  3.5,
DAT10C,07:57:00,19/05/2014,21:31:09,  3.5,
DAT10C,08:00:00,19/05/2014,21:34:09,  3.6,
DAT10C,08:03:00,19/05/2014,21:37:09,  3.3,
DAT10C,08:06:00,19/05/2014,21:40:09,  3.3,
DAT10C,08:09:00,19/05/2014,21:43:09,  3.5,
DAT10C,08:12:00,19/05/2014,21:46:09,  3.3,
DAT10C,08:15:00,19/05/2014,21:49:09,  3.3,
DAT10C,08:18:00,19/05/2014,21:52:09,  3.6,
DAT10C,08:21:00,19/05/2014,21:55:09,  3.8,
DAT10C,08:24:00,19/05/2014,21:58:09,  4.0,
DAT10C,08:27:00,19/05/2014,22:01:09,  4.3,
DAT10C,08:30:00,19/05/2014,22:04:09,  4.7,
DAT10C,08:33:00,19/05/2014,22:07:09,  4.5,
DAT10C,08:36:00,19/05/2014,22:10:09,  4.3,
DAT10C,08:39:00,19/05/2014,22:13:09,  4.1,
DAT10C,08:42:00,19/05/2014,22:16:09,  3.8,
DAT10C,08:45:00,19/05/2014,22:19:09,  3.7,
DAT10C,08:48:00,19/05/2014,22:22:09,  3.6,
DAT10C,08:51:00,19/05/2014,22:25:09,  3.6,
DAT10C,08:54:00,19/05/2014,22:28:09,  3.6,
DAT10C,08:57:00,19/05/2014,22:31:09,  3.3,
DAT10C,09:00:00,19/05/2014,22:34:09,  3.3,
DAT10C,09:03:00,19/05/2014,22:37:09,  3.5,
DAT10C,09:06:00,19/05/2014,22:40:09,  3.3,
DAT10C,09:09:00,19/05/2014,22:43:09,  3.2,
DAT10C,09:12:00,19/05/2014,22:46:09,  3.3,
DAT10C,09:15:00,19/05/2014,22:49:09,  3.7,
DAT10C,09:18:00,19/05/2014,22:52:09,  4.0,
DAT10C,09:21:00,19/05/2014,22:55:09,  4.1,
DAT10C,09:24:00,19/05/2014,22:58:09,  4.2,
DAT10C,09:27:00,19/05/2014,23:01:09,  4.6,
DAT10C,09:30:00,19/05/2014,23:04:09,  4.8,
DAT10C,09:33:00,19/05/2014,23:07:09,  4.8,
DAT10C,09:36:00,19/05/2014,23:10:09,  5.0,
DAT10C,09:39:00,19/05/2014,23:13:09,  5.0,
DAT10C,09:42:00,19/05/2014,23:16:09,  4.8,
DAT10C,09:45:00,19/05/2014,23:19:09,  4.6,
DAT10C,09:48:00,19/05/2014,23:22:09,  4.5,
DAT10C,09:51:00,19/05/2014,23:25:09,  4.3,
DAT10C,09:54:00,19/05/2014,23:28:09,  4.3,
DAT10C,09:57:00,19/05/2014,23:31:09,  4.3,
DAT10C,10:00:00,19/05/2014,23:34:09,  4.1,
DAT10C,10:03:00,19/05/2014,23:37:09,  4.0,
DAT10C,10:06:00,19/05/2014,23:40:09,  4.0,
DAT10C,10:09:00,19/05/2014,23:43:09,  4.0,
DAT10C,10:12:00,19/05/2014,23:46:09,  4.0,
DAT10C,10:15:00,19/05/2014,23:49:09,  3.8,
DAT10C,10:18:00,19/05/2014,23:52:09,  3.7,
DAT10C,10:21:00,19/05/2014,23:55:09,  3.6,
DAT10C,10:24:00,19/05/2014,23:58:09,  3.7,
DAT10C,10:27:00,20/05/2014,00:01:09,  3.7,
DAT10C,10:30:00,20/05/2014,00:04:09,  3.7,
DAT10C,10:33:00,20/05/2014,00:07:09,  3.7,
DAT10C,10:36:00,20/05/2014,00:10:09,  3.6,
DAT10C,10:39:00,20/05/2014,00:13:09,  3.3,
DAT10C,10:42:00,20/05/2014,00:16:09,  3.3,
DAT10C,10:45:00,20/05/2014,00:19:09,  3.7,
DAT10C,10:48:00,20/05/2014,00:22:09,  4.0,
DAT10C,10:51:00,20/05/2014,00:25:09,  4.0,
DAT10C,10:54:00,20/05/2014,00:28:09,  4.1,
